time	V(To_Dekoder,N002)
0.000000000000000e+000	-5.650610e-002
9.999999939225290e-009	-5.650541e-002
1.301828137304884e-008	-5.650516e-002
1.905484424069593e-008	-5.650443e-002
3.112796997599011e-008	-5.650219e-002
5.527422144657848e-008	-5.649513e-002
8.866322546818653e-008	-5.648035e-002
1.223949910067971e-007	-5.645895e-002
1.575912317539136e-007	-5.642757e-002
2.123669562096724e-007	-5.635604e-002
3.078443046029292e-007	-5.616829e-002
4.245934307445035e-007	-5.581424e-002
5.847307252129507e-007	-5.507499e-002
7.858256989164194e-007	-5.369145e-002
1.068149338554678e-006	-5.080256e-002
1.503103560774223e-006	-4.428735e-002
2.085572173338527e-006	-3.164655e-002
2.922382796777310e-006	-5.673707e-003
4.114728729526741e-006	4.641426e-002
5.851823567827449e-006	1.484483e-001
7.618057956120823e-006	2.830139e-001
1.000000000000000e-005	4.969189e-001
1.019215410139186e-005	5.165217e-001
1.057646230417558e-005	5.550052e-001
1.134507870974301e-005	6.289344e-001
1.256796539716040e-005	7.379190e-001
1.501373877199518e-005	9.268728e-001
1.990528552166473e-005	1.224603e+000
2.732888243395239e-005	1.544855e+000
3.527660365971682e-005	1.760561e+000
4.510210906040192e-005	1.910527e+000
5.619131276671383e-005	1.997661e+000
7.076298068829729e-005	2.048614e+000
8.856469340574130e-005	2.072212e+000
1.137152866320879e-004	2.082111e+000
1.489242306007831e-004	2.086116e+000
2.099370734886279e-004	2.089649e+000
4.193483039520817e-004	2.100647e+000
4.260000000000000e-004	2.100981e+000
4.261809626371496e-004	2.100365e+000
4.265428879114489e-004	2.097761e+000
4.272667384600475e-004	2.087072e+000
4.282883423186743e-004	2.058512e+000
4.303315500359279e-004	1.971144e+000
4.314615075807820e-004	1.905165e+000
4.329638288082490e-004	1.796974e+000
4.336276878613263e-004	1.743624e+000
4.340334346735671e-004	1.708733e+000
4.342306011864159e-004	1.691351e+000
4.343440633250782e-004	1.681259e+000
4.344706874304063e-004	1.669975e+000
4.345053559901698e-004	1.666887e+000
4.345460410009349e-004	1.663267e+000
4.345963472490140e-004	1.658791e+000
4.346416634940806e-004	1.654758e+000
4.346906767443607e-004	1.650394e+000
4.347418560774800e-004	1.645836e+000
4.347988698973218e-004	1.640749e+000
4.348623563258799e-004	1.635077e+000
4.349353401492439e-004	1.628542e+000
4.350193730868778e-004	1.620996e+000
4.351166169798189e-004	1.612238e+000
4.352290856103639e-004	1.602074e+000
4.353592523270727e-004	1.590265e+000
4.355105083280222e-004	1.576488e+000
4.356869032663222e-004	1.560366e+000
4.357922653054895e-004	1.550701e+000
4.360000000000000e-004	1.531609e+000
4.360040324256512e-004	1.531239e+000
4.360120972769535e-004	1.530497e+000
4.360604863847676e-004	1.526054e+000
4.361250051951865e-004	1.520157e+000
4.362540428160242e-004	1.508455e+000
4.365121180576996e-004	1.485413e+000
4.370282685410504e-004	1.440720e+000
4.380605695077519e-004	1.355843e+000
4.395201920384476e-004	1.244444e+000
4.412023547537202e-004	1.126488e+000
4.422480795074216e-004	1.058918e+000
4.429936427589766e-004	1.013956e+000
4.435705592237436e-004	9.808998e-001
4.441319502451328e-004	9.502010e-001
4.448167800980769e-004	9.144135e-001
4.453949191383980e-004	8.856201e-001
4.460347675019032e-004	8.553448e-001
4.466902912244722e-004	8.260288e-001
4.475938369188635e-004	7.882385e-001
4.486381333225718e-004	7.483902e-001
4.504582692397870e-004	6.879387e-001
4.532744525411457e-004	6.097412e-001
4.556745244733319e-004	5.553913e-001
4.571075853108126e-004	5.288296e-001
4.580638965274243e-004	5.136185e-001
4.587606321973305e-004	5.036640e-001
4.595726800859914e-004	4.929562e-001
4.602784306267502e-004	4.842396e-001
4.610277128257757e-004	4.755306e-001
4.617855000326104e-004	4.673004e-001
4.633010744462799e-004	4.520836e-001
4.648051833772772e-004	4.382744e-001
4.663825831234341e-004	4.252834e-001
4.683867474597778e-004	4.108944e-001
4.719186235736013e-004	3.904018e-001
4.789823758012482e-004	3.613205e-001
4.903123804384205e-004	3.329239e-001
5.022442302432906e-004	3.177433e-001
5.168042938171159e-004	3.100433e-001
5.339250602860401e-004	3.067589e-001
5.588735346543251e-004	3.054447e-001
5.936109074227519e-004	3.050766e-001
6.540339063768315e-004	3.049622e-001
8.230000000000000e-004	3.047256e-001
8.330000000000000e-004	3.047104e-001
8.330295452154507e-004	3.047180e-001
8.330886356463520e-004	3.047409e-001
8.331432738118433e-004	3.047714e-001
8.332173563043323e-004	3.048286e-001
8.332944730306795e-004	3.049011e-001
8.333959912109975e-004	3.050117e-001
8.335098391279814e-004	3.051414e-001
8.336450786216061e-004	3.052940e-001
8.338497115427920e-004	3.055267e-001
8.342017377204377e-004	3.059196e-001
8.343478790183022e-004	3.060799e-001
8.344414165766998e-004	3.061790e-001
8.344964194781384e-004	3.062401e-001
8.345258106699898e-004	3.062744e-001
8.345480893582533e-004	3.062973e-001
8.345682416363814e-004	3.063202e-001
8.345882058684568e-004	3.063393e-001
8.346090454443992e-004	3.063622e-001
8.346301074923911e-004	3.063889e-001
8.346547426954009e-004	3.064156e-001
8.346909788359095e-004	3.064651e-001
8.347347592524891e-004	3.065300e-001
8.347805635333074e-004	3.066139e-001
8.348564779915253e-004	3.068008e-001
8.349942468272644e-004	3.073006e-001
8.351775972267655e-004	3.082581e-001
8.353761962384460e-004	3.097687e-001
8.356590360398480e-004	3.129120e-001
8.361155254677917e-004	3.201714e-001
8.367042367195296e-004	3.335724e-001
8.375651305058477e-004	3.613625e-001
8.387811446952121e-004	4.162407e-001
8.405671656207883e-004	5.267525e-001
8.430000000000000e-004	7.105827e-001
8.431898853737571e-004	7.276230e-001
8.435696561212713e-004	7.610817e-001
8.443291976162996e-004	8.255043e-001
8.454187884658331e-004	9.116669e-001
8.475979701649001e-004	1.063065e+000
8.519563335630340e-004	1.302288e+000
8.604670357309608e-004	1.632778e+000
8.683409414040994e-004	1.822483e+000
8.793455966001636e-004	1.964577e+000
8.904029674803964e-004	2.036133e+000
9.067585473102594e-004	2.080078e+000
9.251709316750273e-004	2.098076e+000
9.541881944513279e-004	2.105564e+000
9.926853729601882e-004	2.108654e+000
1.000000000000000e-003	2.109009e+000
1.003908710871244e-003	2.109188e+000
1.011726132613732e-003	2.109547e+000
1.249000000000000e-003	2.120232e+000
1.259000000000000e-003	2.120667e+000
1.259150432027992e-003	2.120239e+000
1.259451296083977e-003	2.118431e+000
1.260053024195946e-003	2.111229e+000
1.260787173070108e-003	2.094986e+000
1.262255470818433e-003	2.041771e+000
1.264062810938092e-003	1.953056e+000
1.264435924390924e-003	1.930244e+000
1.265182151296588e-003	1.878571e+000
1.265557470122116e-003	1.851295e+000
1.265795645150764e-003	1.833275e+000
1.265933728521805e-003	1.822655e+000
1.266030609571365e-003	1.815147e+000
1.266146647977097e-003	1.806145e+000
1.266181779974494e-003	1.803413e+000
1.266223036096161e-003	1.800209e+000
1.266275924189754e-003	1.796104e+000
1.266324873962853e-003	1.792297e+000
1.266374411294047e-003	1.788437e+000
1.266430329124624e-003	1.784065e+000
1.266488789294158e-003	1.779488e+000
1.266562508470930e-003	1.773682e+000
1.266639871973149e-003	1.767563e+000
1.266719722713393e-003	1.761208e+000
1.266838289041722e-003	1.751694e+000
1.266983425882479e-003	1.739937e+000
1.267144645787540e-003	1.726723e+000
1.267374727394986e-003	1.707565e+000
1.267689695629318e-003	1.680862e+000
1.268168313306652e-003	1.639587e+000
1.268292062324150e-003	1.628754e+000
1.268539560359146e-003	1.606781e+000
1.269000000000000e-003	1.565613e+000
1.269003684833450e-003	1.565277e+000
1.269011054500351e-003	1.564613e+000
1.269547987374550e-003	1.517122e+000
1.270084920248749e-003	1.471087e+000
1.270621853122948e-003	1.426507e+000
1.271158785997147e-003	1.383382e+000
1.271695718871346e-003	1.341713e+000
1.272232651745545e-003	1.301499e+000
1.272769584619744e-003	1.262741e+000
1.276542854072939e-003	1.006813e+000
1.278620472215064e-003	8.814697e-001
1.279964504816256e-003	8.086548e-001
1.280794162924650e-003	7.666016e-001
1.281460179462512e-003	7.344589e-001
1.282093567248120e-003	7.050247e-001
1.282543530599052e-003	6.848373e-001
1.283093053743111e-003	6.610413e-001
1.283706348876542e-003	6.354446e-001
1.284451357393429e-003	6.056900e-001
1.285289837288375e-003	5.739441e-001
1.286435438234618e-003	5.334167e-001
1.287961784161375e-003	4.843292e-001
1.290464998387876e-003	4.148483e-001
1.294858817537368e-003	3.168335e-001
1.300761352886508e-003	2.190552e-001
1.307310567840393e-003	1.437454e-001
1.313230508102549e-003	9.817505e-002
1.319196908561824e-003	6.758118e-002
1.325023533805862e-003	4.738617e-002
1.331113817948024e-003	3.314972e-002
1.337145423575709e-003	2.367401e-002
1.343388305755946e-003	1.713562e-002
1.349662884962639e-003	1.276398e-002
1.356234964359984e-003	9.765625e-003
1.363019072562962e-003	7.759094e-003
1.370293992281811e-003	6.393433e-003
1.378083394768863e-003	5.493164e-003
1.386759945705283e-003	4.882813e-003
1.396521979060460e-003	4.501343e-003
1.407985222799394e-003	4.249573e-003
1.421740439762270e-003	4.096985e-003
1.439128260441402e-003	3.974915e-003
1.470813432496764e-003	3.848173e-003
1.502498604552127e-003	3.725169e-003
1.534183776607489e-003	3.605901e-003
1.565868948662852e-003	3.490370e-003
1.597554120718215e-003	3.378576e-003
1.629239292773577e-003	3.270519e-003
1.660924464828940e-003	3.166199e-003
1.666000000000000e-003	3.150940e-003
1.666012287414965e-003	3.150940e-003
1.666036862244894e-003	3.158569e-003
1.666086011904752e-003	3.181458e-003
1.666161797312008e-003	3.273010e-003
1.666270027972506e-003	3.509521e-003
1.666365112405394e-003	3.822327e-003
1.666458199447453e-003	4.257202e-003
1.666573619947138e-003	4.989624e-003
1.666715764413629e-003	6.179810e-003
1.666948453534671e-003	8.834839e-003
