time	V(to_dekoder)
0.000000000000000e+000	3.594365e-002
9.999999717180685e-010	3.594366e-002
1.999999943436137e-009	3.594368e-002
3.999999886872274e-009	3.594374e-002
7.999999773744548e-009	3.594398e-002
1.599999954748910e-008	3.594489e-002
3.199999909497819e-008	3.594845e-002
6.399999818995639e-008	3.596254e-002
1.190140516761588e-007	3.601386e-002
2.290421586485637e-007	3.622136e-002
3.860384959333744e-007	3.674097e-002
5.373624753577900e-007	3.754823e-002
7.416541629874477e-007	3.919785e-002
1.034770155557009e-006	4.264406e-002
1.449064749825382e-006	4.966763e-002
2.040612184493271e-006	6.400321e-002
2.886618616214848e-006	9.302513e-002
4.111295001077382e-006	1.518017e-001
5.885709557517132e-006	2.648266e-001
7.486421511745385e-006	3.963242e-001
1.000000000000000e-005	6.388426e-001
1.025135784882546e-005	6.662259e-001
1.075407354647639e-005	7.196819e-001
1.175950494177823e-005	8.205148e-001
1.377036773238193e-005	9.999847e-001
1.779209331358931e-005	1.288497e+000
2.556025475952744e-005	1.692846e+000
3.288428509339234e-005	1.937728e+000
4.300073557877895e-005	2.128276e+000
5.319884271391304e-005	2.229455e+000
6.788292807096726e-005	2.294415e+000
8.425903685417903e-005	2.322629e+000
1.090434548587223e-004	2.334373e+000
1.408369925672980e-004	2.337464e+000
1.984777287236223e-004	2.338064e+000
3.107504784658271e-004	2.338604e+000
3.272146958278518e-004	2.338683e+000
3.436789131898765e-004	2.338761e+000
3.601431305519012e-004	2.338840e+000
3.766073479139259e-004	2.338918e+000
3.930715652759507e-004	2.338997e+000
4.095357826379754e-004	2.339075e+000
4.260000000000000e-004	2.339154e+000
4.263707594355346e-004	2.336415e+000
4.271122783066037e-004	2.325071e+000
4.285953160487419e-004	2.275856e+000
4.315613915330182e-004	2.124772e+000
4.320321837093098e-004	2.092833e+000
4.329737680618929e-004	2.016349e+000
4.335087037236928e-004	1.969980e+000
4.338622688150577e-004	1.937689e+000
4.341143073606819e-004	1.914026e+000
4.343142210424616e-004	1.894997e+000
4.344498002187553e-004	1.882022e+000
4.345107380739263e-004	1.876177e+000
4.345985407862032e-004	1.867736e+000
4.346517338694616e-004	1.862610e+000
4.347078089058724e-004	1.857190e+000
4.347670955500816e-004	1.851443e+000
4.348477717217162e-004	1.843590e+000
4.349822173464704e-004	1.830428e+000
4.351896528859462e-004	1.809944e+000
4.355391699327654e-004	1.775034e+000
4.360000000000000e-004	1.728582e+000
4.360089155466997e-004	1.727675e+000
4.360267466400991e-004	1.725862e+000
4.363477063212896e-004	1.693643e+000
4.366686660024800e-004	1.662093e+000
4.369896256836704e-004	1.631211e+000
4.373105853648609e-004	1.600997e+000
4.376315450460513e-004	1.571452e+000
4.379525047272418e-004	1.542574e+000
4.382734644084322e-004	1.514365e+000
4.405558443635642e-004	1.322679e+000
4.420708463212918e-004	1.205657e+000
